 ******************************************************************************
 DP                                                                                                                                                    
 ******************************************************************************
 COMPONENTS 11 22 33 OF SAMPLE STRAIN, STRESS, ELASTIC STRAIN and AVACS
 ******************************************************************************
        et11        et22        et33        et23        et13        et12           st11        st22        st33        st23        st13        st12         etel11      etel22      etel33        etth11      etth22      etth33
  0.1736E-01 -0.7676E-02 -0.8206E-02  0.0000E+00  0.0000E+00  0.0000E+00     0.7352E+03 -0.2114E-03  0.8759E-02  0.1350E+02  0.6804E+01 -0.5924E+01     0.3481E-02 -0.9491E-03 -0.1063E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.1787E-01 -0.7923E-02 -0.8460E-02  0.0000E+00  0.0000E+00  0.0000E+00     0.7398E+03 -0.3624E-03  0.8982E-02  0.1375E+02  0.6881E+01 -0.6036E+01     0.3503E-02 -0.9551E-03 -0.1070E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.1838E-01 -0.8169E-02 -0.8715E-02  0.0000E+00  0.0000E+00  0.0000E+00     0.7443E+03 -0.5345E-03  0.9151E-02  0.1401E+02  0.6950E+01 -0.6169E+01     0.3524E-02 -0.9609E-03 -0.1076E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.1889E-01 -0.8415E-02 -0.8971E-02  0.0000E+00  0.0000E+00  0.0000E+00     0.7487E+03 -0.3560E-03  0.9225E-02  0.1427E+02  0.7034E+01 -0.6265E+01     0.3545E-02 -0.9665E-03 -0.1083E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.1940E-01 -0.8661E-02 -0.9227E-02  0.0000E+00  0.0000E+00  0.0000E+00     0.7529E+03 -0.3590E-03  0.9382E-02  0.1452E+02  0.7089E+01 -0.6352E+01     0.3565E-02 -0.9720E-03 -0.1089E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.1991E-01 -0.8907E-02 -0.9483E-02  0.0000E+00  0.0000E+00  0.0000E+00     0.7570E+03 -0.4640E-03  0.9308E-02  0.1476E+02  0.7126E+01 -0.6407E+01     0.3584E-02 -0.9773E-03 -0.1095E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.2042E-01 -0.9153E-02 -0.9740E-02  0.0000E+00  0.0000E+00  0.0000E+00     0.7610E+03 -0.4816E-03  0.9555E-02  0.1498E+02  0.7155E+01 -0.6466E+01     0.3603E-02 -0.9825E-03 -0.1100E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.2093E-01 -0.9400E-02 -0.9996E-02  0.0000E+00  0.0000E+00  0.0000E+00     0.7649E+03 -0.2817E-03  0.9400E-02  0.1519E+02  0.7185E+01 -0.6539E+01     0.3622E-02 -0.9876E-03 -0.1106E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.2144E-01 -0.9647E-02 -0.1025E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.7688E+03 -0.3244E-03  0.9565E-02  0.1539E+02  0.7232E+01 -0.6611E+01     0.3640E-02 -0.9926E-03 -0.1112E-02     0.0000E+00  0.0000E+00  0.0000E+00
  0.2195E-01 -0.9894E-02 -0.1051E-01  0.0000E+00  0.0000E+00  0.0000E+00     0.7725E+03 -0.1648E-03  0.9495E-02  0.1561E+02  0.7259E+01 -0.6673E+01     0.3657E-02 -0.9973E-03 -0.1117E-02     0.0000E+00  0.0000E+00  0.0000E+00
