 COMPONENTS 11 22 33 OF SAMPLE STRAIN, STRESS, ELASTIC STRAIN and AVACS
 ******************************************************************************
        et11        et22        et33        et23        et13        et12           st11        st22        st33        st23        st13        st12         etel11      etel22      etel33        wgt_ph
  0.2190E-01 -0.1019E-01 -0.1028E-01 -0.2480E-03 -0.1486E-03  0.2533E-03     0.1025E+04 -0.1003E+03 -0.1335E+03  0.2683E+02  0.1370E+02 -0.2048E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.2239E-01 -0.1043E-01 -0.1052E-01 -0.2513E-03 -0.1537E-03  0.2559E-03     0.1029E+04 -0.1003E+03 -0.1340E+03  0.2709E+02  0.1388E+02 -0.2059E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.2288E-01 -0.1067E-01 -0.1076E-01 -0.2554E-03 -0.1577E-03  0.2569E-03     0.1033E+04 -0.1004E+03 -0.1346E+03  0.2737E+02  0.1401E+02 -0.2063E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.2336E-01 -0.1091E-01 -0.1100E-01 -0.2592E-03 -0.1620E-03  0.2578E-03     0.1036E+04 -0.1005E+03 -0.1351E+03  0.2764E+02  0.1414E+02 -0.2064E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.2385E-01 -0.1115E-01 -0.1124E-01 -0.2636E-03 -0.1662E-03  0.2579E-03     0.1040E+04 -0.1005E+03 -0.1356E+03  0.2794E+02  0.1427E+02 -0.2061E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.2434E-01 -0.1139E-01 -0.1149E-01 -0.2684E-03 -0.1707E-03  0.2579E-03     0.1043E+04 -0.1006E+03 -0.1360E+03  0.2824E+02  0.1441E+02 -0.2057E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.2482E-01 -0.1163E-01 -0.1173E-01 -0.2732E-03 -0.1750E-03  0.2580E-03     0.1047E+04 -0.1008E+03 -0.1365E+03  0.2853E+02  0.1455E+02 -0.2053E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.2531E-01 -0.1186E-01 -0.1197E-01 -0.2781E-03 -0.1794E-03  0.2580E-03     0.1050E+04 -0.1009E+03 -0.1370E+03  0.2882E+02  0.1468E+02 -0.2049E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.2579E-01 -0.1210E-01 -0.1221E-01 -0.2827E-03 -0.1836E-03  0.2571E-03     0.1053E+04 -0.1010E+03 -0.1375E+03  0.2909E+02  0.1482E+02 -0.2042E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.2627E-01 -0.1234E-01 -0.1246E-01 -0.2866E-03 -0.1873E-03  0.2565E-03     0.1056E+04 -0.1011E+03 -0.1380E+03  0.2933E+02  0.1492E+02 -0.2036E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.2676E-01 -0.1257E-01 -0.1270E-01 -0.2905E-03 -0.1906E-03  0.2557E-03     0.1059E+04 -0.1012E+03 -0.1385E+03  0.2955E+02  0.1501E+02 -0.2029E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.2724E-01 -0.1281E-01 -0.1294E-01 -0.2944E-03 -0.1939E-03  0.2548E-03     0.1063E+04 -0.1014E+03 -0.1390E+03  0.2976E+02  0.1510E+02 -0.2022E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.2772E-01 -0.1304E-01 -0.1318E-01 -0.2984E-03 -0.1972E-03  0.2536E-03     0.1066E+04 -0.1015E+03 -0.1394E+03  0.2997E+02  0.1519E+02 -0.2016E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.2820E-01 -0.1328E-01 -0.1342E-01 -0.3024E-03 -0.2009E-03  0.2521E-03     0.1069E+04 -0.1016E+03 -0.1399E+03  0.3018E+02  0.1526E+02 -0.2011E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.2869E-01 -0.1351E-01 -0.1367E-01 -0.3051E-03 -0.2038E-03  0.2520E-03     0.1072E+04 -0.1018E+03 -0.1403E+03  0.3036E+02  0.1533E+02 -0.2012E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.2917E-01 -0.1375E-01 -0.1391E-01 -0.3081E-03 -0.2071E-03  0.2515E-03     0.1075E+04 -0.1019E+03 -0.1408E+03  0.3052E+02  0.1539E+02 -0.2012E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.2966E-01 -0.1398E-01 -0.1416E-01 -0.3113E-03 -0.2103E-03  0.2514E-03     0.1078E+04 -0.1020E+03 -0.1411E+03  0.3070E+02  0.1540E+02 -0.2014E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.3015E-01 -0.1422E-01 -0.1441E-01 -0.3143E-03 -0.2130E-03  0.2513E-03     0.1081E+04 -0.1021E+03 -0.1415E+03  0.3088E+02  0.1543E+02 -0.2015E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.3064E-01 -0.1446E-01 -0.1466E-01 -0.3173E-03 -0.2153E-03  0.2516E-03     0.1084E+04 -0.1021E+03 -0.1419E+03  0.3105E+02  0.1544E+02 -0.2019E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.3113E-01 -0.1469E-01 -0.1491E-01 -0.3208E-03 -0.2178E-03  0.2520E-03     0.1087E+04 -0.1022E+03 -0.1422E+03  0.3123E+02  0.1545E+02 -0.2022E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.3162E-01 -0.1493E-01 -0.1515E-01 -0.3236E-03 -0.2208E-03  0.2520E-03     0.1090E+04 -0.1022E+03 -0.1426E+03  0.3138E+02  0.1548E+02 -0.2023E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.3211E-01 -0.1517E-01 -0.1540E-01 -0.3265E-03 -0.2235E-03  0.2518E-03     0.1093E+04 -0.1023E+03 -0.1429E+03  0.3153E+02  0.1549E+02 -0.2023E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.3260E-01 -0.1541E-01 -0.1565E-01 -0.3290E-03 -0.2262E-03  0.2515E-03     0.1096E+04 -0.1023E+03 -0.1433E+03  0.3166E+02  0.1551E+02 -0.2023E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.3309E-01 -0.1565E-01 -0.1589E-01 -0.3317E-03 -0.2285E-03  0.2508E-03     0.1099E+04 -0.1023E+03 -0.1436E+03  0.3179E+02  0.1551E+02 -0.2022E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.3358E-01 -0.1589E-01 -0.1614E-01 -0.3342E-03 -0.2304E-03  0.2503E-03     0.1102E+04 -0.1023E+03 -0.1440E+03  0.3192E+02  0.1550E+02 -0.2022E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.3407E-01 -0.1613E-01 -0.1639E-01 -0.3367E-03 -0.2322E-03  0.2497E-03     0.1105E+04 -0.1023E+03 -0.1443E+03  0.3205E+02  0.1549E+02 -0.2022E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.3456E-01 -0.1637E-01 -0.1664E-01 -0.3391E-03 -0.2340E-03  0.2492E-03     0.1108E+04 -0.1024E+03 -0.1446E+03  0.3219E+02  0.1549E+02 -0.2022E+02     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
