  STRAIN   SUBSTRUCTURE     MODE1     MODE2     MODE3
   0.105 0.8761719E+06 0.9388770E+12 0.1366941E+13 0.7577856E+12
   0.106 0.8803616E+06 0.9403966E+12 0.1369949E+13 0.7587968E+12
   0.107 0.8843893E+06 0.9418619E+12 0.1372828E+13 0.7597998E+12
   0.108 0.8882635E+06 0.9432770E+12 0.1375582E+13 0.7607948E+12
   0.109 0.8919916E+06 0.9446452E+12 0.1378218E+13 0.7617822E+12
   0.110 0.8955801E+06 0.9459696E+12 0.1380740E+13 0.7627622E+12
   0.111 0.8990350E+06 0.9472527E+12 0.1383152E+13 0.7637349E+12
   0.112 0.9023624E+06 0.9484968E+12 0.1385460E+13 0.7647005E+12
   0.113 0.9055849E+06 0.9497029E+12 0.1387701E+13 0.7656561E+12
   0.114 0.9087206E+06 0.9508744E+12 0.1389900E+13 0.7665999E+12
   0.115 0.9117721E+06 0.9520130E+12 0.1392057E+13 0.7675321E+12
   0.116 0.9147418E+06 0.9531199E+12 0.1394171E+13 0.7684531E+12
   0.117 0.9176321E+06 0.9541963E+12 0.1396244E+13 0.7693630E+12
   0.118 0.9204452E+06 0.9552431E+12 0.1398276E+13 0.7702622E+12
   0.119 0.9231832E+06 0.9562612E+12 0.1400267E+13 0.7711509E+12
   0.120 0.9258476E+06 0.9572512E+12 0.1402218E+13 0.7720295E+12
   0.121 0.9284402E+06 0.9582137E+12 0.1404129E+13 0.7728982E+12
   0.122 0.9309627E+06 0.9591494E+12 0.1406000E+13 0.7737571E+12
   0.123 0.9334172E+06 0.9600586E+12 0.1407833E+13 0.7746063E+12
   0.124 0.9358051E+06 0.9609419E+12 0.1409628E+13 0.7754460E+12
   0.125 0.9381279E+06 0.9617996E+12 0.1411385E+13 0.7762765E+12
   0.126 0.9403871E+06 0.9626321E+12 0.1413106E+13 0.7770979E+12
   0.127 0.9425839E+06 0.9634396E+12 0.1414790E+13 0.7779103E+12
   0.128 0.9447193E+06 0.9642226E+12 0.1416437E+13 0.7787139E+12
   0.129 0.9467941E+06 0.9649812E+12 0.1418048E+13 0.7795090E+12
   0.130 0.9488092E+06 0.9657158E+12 0.1419621E+13 0.7802955E+12
   0.131 0.9507655E+06 0.9664265E+12 0.1421158E+13 0.7810737E+12
   0.132 0.9526637E+06 0.9671139E+12 0.1422658E+13 0.7818439E+12
   0.133 0.9545045E+06 0.9677780E+12 0.1424119E+13 0.7826061E+12
   0.134 0.9562887E+06 0.9684190E+12 0.1425544E+13 0.7833605E+12
   0.135 0.9580170E+06 0.9690370E+12 0.1426931E+13 0.7841072E+12
   0.136 0.9596814E+06 0.9696286E+12 0.1428275E+13 0.7848446E+12
   0.137 0.9612900E+06 0.9701979E+12 0.1429582E+13 0.7855750E+12
   0.138 0.9628480E+06 0.9707454E+12 0.1430854E+13 0.7862987E+12
   0.139 0.9643541E+06 0.9712708E+12 0.1432090E+13 0.7870156E+12
   0.140 0.9658003E+06 0.9717706E+12 0.1433285E+13 0.7877242E+12
   0.141 0.9671934E+06 0.9722483E+12 0.1434443E+13 0.7884265E+12
   0.142 0.9685377E+06 0.9727045E+12 0.1435566E+13 0.7891228E+12
   0.143 0.9698245E+06 0.9731356E+12 0.1436649E+13 0.7898113E+12
   0.144 0.9710599E+06 0.9735445E+12 0.1437695E+13 0.7904939E+12
   0.145 0.9722405E+06 0.9739291E+12 0.1438702E+13 0.7911694E+12
   0.146 0.9733710E+06 0.9742915E+12 0.1439673E+13 0.7918394E+12
   0.147 0.9744483E+06 0.9746298E+12 0.1440604E+13 0.7925027E+12
   0.148 0.9754767E+06 0.9749459E+12 0.1441500E+13 0.7931607E+12
   0.149 0.9764531E+06 0.9752378E+12 0.1442358E+13 0.7938123E+12
   0.150 0.9773753E+06 0.9755051E+12 0.1443175E+13 0.7944575E+12
   0.151 0.9782514E+06 0.9757505E+12 0.1443957E+13 0.7950980E+12
   0.152 0.9790782E+06 0.9759719E+12 0.1444703E+13 0.7957327E+12
   0.153 0.9798536E+06 0.9761688E+12 0.1445409E+13 0.7963615E+12
   0.154 0.9805861E+06 0.9763470E+12 0.1446080E+13 0.7969857E+12
   0.155 0.9812734E+06 0.9765060E+12 0.1446715E+13 0.7976038E+12
   0.156 0.9819135E+06 0.9766451E+12 0.1447310E+13 0.7982160E+12
   0.157 0.9825135E+06 0.9767664E+12 0.1447872E+13 0.7988237E+12
   0.158 0.9830730E+06 0.9768741E+12 0.1448396E+13 0.7994250E+12
   0.159 0.9835912E+06 0.9769701E+12 0.1448881E+13 0.8000198E+12
   0.160 0.9840700E+06 0.9770539E+12 0.1449328E+13 0.8006083E+12
   0.161 0.9845108E+06 0.9771250E+12 0.1449738E+13 0.8011908E+12
   0.162 0.9849193E+06 0.9771848E+12 0.1450115E+13 0.8017687E+12
   0.163 0.9852945E+06 0.9772311E+12 0.1450459E+13 0.8023410E+12
   0.164 0.9856350E+06 0.9772628E+12 0.1450767E+13 0.8029077E+12
   0.165 0.9859427E+06 0.9772795E+12 0.1451042E+13 0.8034690E+12
   0.166 0.9862192E+06 0.9772805E+12 0.1451283E+13 0.8040251E+12
   0.167 0.9864662E+06 0.9772654E+12 0.1451494E+13 0.8045763E+12
   0.168 0.9866856E+06 0.9772337E+12 0.1451673E+13 0.8051228E+12
