  %STRAIN  PHFRAC   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   TWFR4   TWFR5
   0.124   0.005   2.834   0.000   0.000   0.000   0.000   0.001   0.000   0.001
   0.125   0.005   2.835   0.000   0.000   0.000   0.000   0.001   0.000   0.001
   0.126   0.005   2.836   0.000   0.000   0.000   0.000   0.001   0.000   0.001
   0.127   0.005   2.837   0.000   0.000   0.000   0.000   0.001   0.000   0.001
   0.128   0.005   2.943   0.000   0.000   0.000   0.000   0.001   0.000   0.001
   0.129   0.005   2.944   0.000   0.000   0.000   0.000   0.001   0.000   0.001
   0.130   0.005   2.945   0.000   0.000   0.000   0.000   0.001   0.000   0.001
   0.131   0.005   2.946   0.000   0.000   0.000   0.000   0.001   0.000   0.001
   0.132   0.005   2.947   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.133   0.005   2.966   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.134   0.005   2.967   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.135   0.005   2.982   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.136   0.005   3.000   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.137   0.005   3.001   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.138   0.005   3.002   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.139   0.005   3.003   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.140   0.005   3.005   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.141   0.005   2.993   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.142   0.005   2.994   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.143   0.005   2.995   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.144   0.005   2.996   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.145   0.005   2.997   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.146   0.005   2.998   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.147   0.005   2.999   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.148   0.005   2.999   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.149   0.005   3.000   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.150   0.005   3.001   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.151   0.005   3.002   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.152   0.005   3.002   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.153   0.005   3.003   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.154   0.005   3.057   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.155   0.005   3.057   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.156   0.005   3.058   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.157   0.005   3.059   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.158   0.005   3.060   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.159   0.005   3.061   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.160   0.005   3.061   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.161   0.005   3.062   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.162   0.005   3.063   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.163   0.005   3.063   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.164   0.005   3.079   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.165   0.005   3.079   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.166   0.006   3.080   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.167   0.006   3.081   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.168   0.006   3.060   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.169   0.006   3.061   0.000   0.000   0.000   0.000   0.002   0.000   0.001
   0.170   0.006   3.061   0.000   0.000   0.000   0.000   0.002   0.000   0.002
   0.171   0.006   3.062   0.000   0.000   0.000   0.000   0.002   0.000   0.002
   0.172   0.006   3.063   0.000   0.000   0.000   0.000   0.002   0.000   0.002
   0.173   0.006   3.081   0.000   0.000   0.000   0.000   0.002   0.000   0.002
   0.174   0.006   3.082   0.000   0.000   0.000   0.000   0.002   0.000   0.002
   0.175   0.006   3.083   0.000   0.000   0.000   0.000   0.002   0.000   0.002
   0.176   0.006   3.084   0.000   0.000   0.000   0.000   0.002   0.000   0.002
   0.177   0.006   3.084   0.000   0.000   0.000   0.000   0.002   0.000   0.002
   0.178   0.006   3.085   0.000   0.000   0.000   0.000   0.002   0.000   0.002
   0.179   0.006   3.086   0.000   0.000   0.000   0.000   0.002   0.000   0.002
   0.180   0.006   3.087   0.000   0.000   0.000   0.000   0.002   0.000   0.002
   0.181   0.006   3.087   0.000   0.000   0.000   0.000   0.002   0.000   0.002
   0.182   0.006   3.088   0.000   0.000   0.000   0.000   0.002   0.000   0.002
   0.183   0.006   3.089   0.000   0.000   0.000   0.000   0.002   0.000   0.002
   0.184   0.006   3.089   0.000   0.000   0.000   0.000   0.002   0.000   0.002
   0.185   0.006   3.119   0.000   0.000   0.000   0.000   0.002   0.000   0.002
   0.186   0.006   3.120   0.000   0.000   0.000   0.000   0.002   0.000   0.002
   0.187   0.006   3.138   0.000   0.000   0.000   0.000   0.002   0.000   0.002
   0.188   0.006   3.139   0.000   0.000   0.000   0.000   0.002   0.000   0.002
   0.189   0.006   3.140   0.000   0.000   0.000   0.000   0.002   0.000   0.002
   0.190   0.006   3.141   0.000   0.000   0.000   0.000   0.002   0.000   0.002
   0.191   0.006   3.174   0.000   0.000   0.000   0.000   0.002   0.000   0.002
   0.192   0.006   3.175   0.000   0.000   0.000   0.000   0.002   0.000   0.002
   0.193   0.006   3.176   0.000   0.000   0.000   0.000   0.002   0.000   0.002
   0.194   0.006   3.177   0.000   0.000   0.000   0.000   0.002   0.000   0.002
   0.195   0.006   3.178   0.000   0.000   0.000   0.000   0.002   0.000   0.002
   0.196   0.006   3.196   0.000   0.000   0.000   0.000   0.002   0.000   0.002
   0.197   0.006   3.197   0.000   0.000   0.000   0.000   0.002   0.000   0.002
   0.198   0.006   3.209   0.000   0.000   0.000   0.000   0.002   0.000   0.002
   0.199   0.006   3.210   0.000   0.000   0.000   0.000   0.002   0.000   0.002
   0.200   0.006   3.241   0.000   0.000   0.000   0.000   0.002   0.000   0.002
